75: 13.995463, 88.318665 avg, 0.000003 rate, 9.312343 seconds, 4800 images
76: 15.210849, 81.007881 avg, 0.000003 rate, 9.335099 seconds, 4864 images
77: 14.563946, 74.363487 avg, 0.000003 rate, 9.314319 seconds, 4928 images
78: 13.934235, 68.320564 avg, 0.000004 rate, 9.337219 seconds, 4992 images
79: 15.247068, 63.013214 avg, 0.000004 rate, 9.312906 seconds, 5056 images
80: 12.510894, 57.962982 avg, 0.000004 rate, 9.379561 seconds, 5120 images
81: 14.066315, 53.573315 avg, 0.000004 rate, 6.370556 seconds, 5184 images
82: 13.898323, 49.605816 avg, 0.000004 rate, 6.430650 seconds, 5248 images
83: 15.104169, 46.155651 avg, 0.000005 rate, 6.431905 seconds, 5312 images
84: 12.530406, 42.793125 avg, 0.000005 rate, 6.427204 seconds, 5376 images
85: 12.705912, 39.784405 avg, 0.000005 rate, 6.437682 seconds, 5440 images
86: 12.397967, 37.045761 avg, 0.000005 rate, 6.442367 seconds, 5504 images
87: 10.960066, 34.437191 avg, 0.000006 rate, 6.442146 seconds, 5568 images
88: 12.248915, 32.218365 avg, 0.000006 rate, 6.444269 seconds, 5632 images
89: 11.540015, 30.150530 avg, 0.000006 rate, 6.432677 seconds, 5696 images
90: 12.157122, 28.351189 avg, 0.000006 rate, 6.428379 seconds, 5760 images
91: 12.721053, 26.788176 avg, 0.000007 rate, 9.272732 seconds, 5824 images
92: 11.473393, 25.256697 avg, 0.000007 rate, 9.404322 seconds, 5888 images
93: 11.656550, 23.896683 avg, 0.000007 rate, 9.347751 seconds, 5952 images
94: 11.951029, 22.702118 avg, 0.000008 rate, 9.339187 seconds, 6016 images
95: 11.887667, 21.620672 avg, 0.000008 rate, 9.326106 seconds, 6080 images
96: 11.738732, 20.632479 avg, 0.000008 rate, 9.338959 seconds, 6144 images
97: 10.971771, 19.666409 avg, 0.000009 rate, 9.319949 seconds, 6208 images
98: 12.236230, 18.923391 avg, 0.000009 rate, 9.307926 seconds, 6272 images
99: 11.129833, 18.144035 avg, 0.000009 rate, 9.332386 seconds, 6336 images
100: 10.723319, 17.401964 avg, 0.000010 rate, 9.363935 seconds, 6400 images
101: 10.048902, 16.666658 avg, 0.000010 rate, 7.526656 seconds, 6464 images
102: 10.549302, 16.054922 avg, 0.000011 rate, 7.595447 seconds, 6528 images
103: 11.297790, 15.579208 avg, 0.000011 rate, 7.601763 seconds, 6592 images
104: 11.374814, 15.158769 avg, 0.000011 rate, 7.654498 seconds, 6656 images
105: 10.943156, 14.737207 avg, 0.000012 rate, 7.633339 seconds, 6720 images
106: 10.662050, 14.329692 avg, 0.000012 rate, 7.607797 seconds, 6784 images
107: 10.760542, 13.972776 avg, 0.000013 rate, 7.606091 seconds, 6848 images
108: 10.751719, 13.650671 avg, 0.000013 rate, 7.584081 seconds, 6912 images
109: 10.855112, 13.371115 avg, 0.000014 rate, 7.615383 seconds, 6976 images
110: 11.056221, 13.139626 avg, 0.000014 rate, 7.594714 seconds, 7040 images
111: 10.770577, 12.902720 avg, 0.000015 rate, 6.412847 seconds, 7104 images
112: 10.315746, 12.644023 avg, 0.000015 rate, 6.457634 seconds, 7168 images
113: 10.450871, 12.424707 avg, 0.000016 rate, 6.444253 seconds, 7232 images
114: 10.385092, 12.220746 avg, 0.000016 rate, 6.429741 seconds, 7296 images
115: 9.875229, 11.986195 avg, 0.000017 rate, 6.409608 seconds, 7360 images
116: 11.015567, 11.889132 avg, 0.000018 rate, 6.434045 seconds, 7424 images
117: 11.269590, 11.827177 avg, 0.000018 rate, 6.444271 seconds, 7488 images
118: 11.061842, 11.750644 avg, 0.000019 rate, 6.411402 seconds, 7552 images
119: 9.914685, 11.567048 avg, 0.000020 rate, 6.431892 seconds, 7616 images
120: 9.618315, 11.372175 avg, 0.000020 rate, 6.450256 seconds, 7680 images
121: 10.077316, 11.242689 avg, 0.000021 rate, 3.463619 seconds, 7744 images
122: 10.473146, 11.165735 avg, 0.000022 rate, 3.476280 seconds, 7808 images
123: 10.017558, 11.050918 avg, 0.000022 rate, 3.524226 seconds, 7872 images
124: 9.852277, 10.931053 avg, 0.000023 rate, 3.501180 seconds, 7936 images
125: 10.401912, 10.878139 avg, 0.000024 rate, 3.526381 seconds, 8000 images
126: 9.894065, 10.779732 avg, 0.000025 rate, 3.509814 seconds, 8064 images
127: 9.384036, 10.640162 avg, 0.000025 rate, 3.524098 seconds, 8128 images
128: 9.951497, 10.571296 avg, 0.000026 rate, 3.501292 seconds, 8192 images
129: 10.136903, 10.527857 avg, 0.000027 rate, 3.488207 seconds, 8256 images
130: 9.773413, 10.452413 avg, 0.000028 rate, 3.493617 seconds, 8320 images
131: 9.215469, 10.328718 avg, 0.000029 rate, 10.166018 seconds, 8384 images
132: 9.595108, 10.255357 avg, 0.000030 rate, 10.152993 seconds, 8448 images
133: 9.265841, 10.156405 avg, 0.000031 rate, 10.194490 seconds, 8512 images
134: 8.890208, 10.029786 avg, 0.000031 rate, 10.154102 seconds, 8576 images
135: 9.542810, 9.981089 avg, 0.000032 rate, 10.157362 seconds, 8640 images
136: 9.045530, 9.887533 avg, 0.000033 rate, 10.173259 seconds, 8704 images
137: 9.629043, 9.861684 avg, 0.000034 rate, 10.212898 seconds, 8768 images
138: 8.453618, 9.720878 avg, 0.000035 rate, 10.169590 seconds, 8832 images
139: 8.012444, 9.550035 avg, 0.000036 rate, 10.173471 seconds, 8896 images
140: 8.558707, 9.450902 avg, 0.000038 rate, 10.190561 seconds, 8960 images
141: 8.946820, 9.400494 avg, 0.000039 rate, 4.765221 seconds, 9024 images
142: 9.111195, 9.371564 avg, 0.000040 rate, 4.817186 seconds, 9088 images
143: 8.450178, 9.279426 avg, 0.000041 rate, 4.812001 seconds, 9152 images
144: 8.878531, 9.239336 avg, 0.000042 rate, 4.803525 seconds, 9216 images
145: 8.297256, 9.145128 avg, 0.000043 rate, 4.814100 seconds, 9280 images
146: 9.002131, 9.130829 avg, 0.000044 rate, 4.825083 seconds, 9344 images
